ExperimentName,OverallMeanAccuracy,OverallStd,MaxAccuracy,MinAccuracy
Exp30_LinearSVM_ANOVA_ChannelPair3_GetReadyAndHolding_SlidingWindow_PLVTable_ExperimentResults_20241003.mat,87.13151927,0.041847948,93.88888889,81.03174603
Exp5_LinearSVM_ANOVA_ChannelPair3_GetReadyAndHolding_SlidingWindow_PLVTable_ExperimentResults_20241004.mat,86.52502705,0.037962782,92.85285285,80.55555556
Exp40_LinearSVM_ANOVA_ChannelPair3_Holding_SlidingWindow_IPDTable_ExperimentResults_20241004.mat,82.13392857,0.054696418,92.75,74
Exp50_LinearSVM_ANOVA_ChannelPair3_Holding_SlidingWindow_IPDTable_ExperimentResults_20241004.mat,82.11904762,0.054844101,93.5,73.33333333
Exp20_LinearSVM_ANOVA_ChannelPair3_Holding_SlidingWindow_IPDTable_ExperimentResults_20241004.mat,82.06746032,0.057643738,93.38888889,72.66666667
Exp10_LinearSVM_ANOVA_ChannelPair3_Holding_SlidingWindow_IPDTable_ExperimentResults_20241004.mat,81.8109858,0.056441265,93.3625731,73.21052632
Exp30_LinearSVM_ANOVA_ChannelPair3_Holding_SlidingWindow_IPDTable_ExperimentResults_20241004.mat,81.69501134,0.055075202,93.41269841,73.41269841
Exp5_LinearSVM_ANOVA_ChannelPair3_Holding_SlidingWindow_IPDTable_ExperimentResults_20241004.mat,81.61640935,0.053058481,91.74174174,73
Exp50_LinearSVM_ANOVA_ChannelPair3_GetReady_SlidingWindow_IPDTable_ExperimentResults_20241004.mat,81.45238095,0.039274557,91,75.5
Exp40_LinearSVM_ANOVA_ChannelPair3_GetReady_SlidingWindow_IPDTable_ExperimentResults_20241004.mat,81.35714286,0.037809165,90.875,76
Exp30_LinearSVM_ANOVA_ChannelPair3_GetReady_SlidingWindow_IPDTable_ExperimentResults_20241004.mat,80.99206349,0.039090517,89.6031746,76.11111111
Exp20_LinearSVM_ANOVA_ChannelPair3_GetReady_SlidingWindow_IPDTable_ExperimentResults_20241004.mat,80.96031746,0.042116054,90.11111111,75.5
Exp10_LinearSVM_ANOVA_ChannelPair3_GetReady_SlidingWindow_IPDTable_ExperimentResults_20241004.mat,80.66457811,0.039468948,89.03508772,74
Exp5_LinearSVM_ANOVA_ChannelPair3_GetReady_SlidingWindow_IPDTable_ExperimentResults_20241004.mat,79.9546154,0.036954037,86.42375169,73